model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future,method_key,checkpoint_step,future_fvd_style,rank,source_table,method_label,fvd_future,fvd_backend,fvd_num_videos,fvd_num_frames,fvd_size
v4_main_text_r16_continue_step022000,5,2325.4337310791016,26.56955966949463,17.209952668646615,0.6985843252258086,53.98988990783691,31.473647783197798,84.64849662780762,0.37202814144484164,0.9910970594686545,0.723875300420705,0.7198420990356157,9.368828058242798,9.375776290893555,0.5894530818338503,1.0791501974019204,v4_main_text_r16_continue,22000,89.42235196109198,,b200_rank_capacity,,,,,,
v4_main_text_r16_continue_step023976,5,2328.6960357666017,26.601981449127198,17.213540866157267,0.6989122703136338,53.93206100463867,31.47845265770049,83.80447425842286,0.36916870227293674,0.9902920945689839,0.722654949713297,0.7179627887029503,9.346315288543702,9.348671388626098,0.5955971440219785,1.0815146200334758,v4_main_text_r16_continue,23976,88.46535400994026,,b200_rank_capacity,,,,,,
v4_main_text_r32_step000000,5,2328.962252807617,26.624134063720703,17.210487384003404,0.6984361938306343,53.95564994812012,31.476407839544578,84.70546054840088,0.37303071445034175,0.9928808622079874,0.7245564278924248,0.7197746229641944,9.360262441635133,9.362876796722412,0.5946408872906954,1.0796696250153592,v4_main_text_r32,0,84.07137679469304,,b200_rank_capacity,,,,,,
v4_main_text_r32_step000100,5,2326.1747467041014,26.58985300064087,17.213455855190176,0.6991272753723077,53.9462028503418,31.47762333126115,83.53972511291504,0.36951535973458244,1.0014852055567798,0.7214810885429697,0.716908052962938,9.337413930892945,9.334207487106323,0.5804155485431781,1.0805285033285812,v4_main_text_r32,100,85.07908370510168,,b200_rank_capacity,,,,,,
v4_main_text_r32_step000250,5,2327.7029083251955,26.596551513671876,17.21298533874708,0.6986654004617929,53.97493324279785,31.473215571291554,83.44191265106201,0.3686337582042233,0.9987214455157087,0.7218777731269062,0.7172994478821294,9.337893104553222,9.339135694503785,0.5882019230420845,1.0802289021842193,v4_main_text_r32,250,86.67221689084101,,b200_rank_capacity,,,,,,
v4_main_text_r32_step000500,5,2332.0030212402344,26.61651039123535,17.200790725826703,0.6984897868459028,53.97814292907715,31.474899728161716,83.70667572021485,0.3688303348327915,0.9908240357285696,0.7252062356218192,0.720370603668548,9.368830108642578,9.375616359710694,0.5901588199661342,1.0787304400826474,v4_main_text_r32,500,87.59097769482378,,b200_rank_capacity,,,,,,
v4_main_text_r32_step000750,5,2324.518405151367,26.548949337005617,17.218210608647986,0.6990901618266534,53.85911521911621,31.482700507938254,83.61374359130859,0.3696158587939309,0.991130301908399,0.723139096632692,0.718159794443595,9.362007522583008,9.365553855895996,0.5956493863368276,1.07800423904576,v4_main_text_r32,750,87.3013860804582,,b200_rank_capacity,,,,,,
v4_main_text_r32_step001000,5,2322.078317260742,26.544426727294923,17.222215272200298,0.6999721585376698,53.90179176330567,31.48018204837204,82.76797752380371,0.36536792026959575,0.9899418516955271,0.7185531580905539,0.71398236243737,9.322744512557984,9.321908330917358,0.6008874650287681,1.081352687015962,v4_main_text_r32,1000,86.98566145740702,,b200_rank_capacity,,,,,,
v4_main_text_r32_step001500,5,2298.5954986572265,26.443381786346436,17.251648956055583,0.701396779443979,53.89647674560547,31.480026131053695,82.08346748352051,0.36313609294555255,0.9900403520227977,0.7164792476107026,0.7120159145634462,9.303517150878907,9.304027605056763,0.6097075554418991,1.0844195578989673,v4_main_text_r32,1500,85.65163864727907,,b200_rank_capacity,,,,,,
v4_main_text_r32_step002000,5,2315.2386627197266,26.46443462371826,17.245294399906562,0.7001002277826259,53.83526344299317,31.485503433279195,81.57702693939208,0.3596463498484998,0.9858450923434363,0.7175133718337621,0.7126567058240832,9.31164870262146,9.309177780151368,0.6055792163352685,1.0820072823298077,v4_main_text_r32,2000,86.53427908975542,,b200_rank_capacity,,,,,,
v4_main_text_r32_step002500,5,2314.1889373779295,26.494418621063232,17.250904339091647,0.7002598971553902,53.89318923950195,31.482671000626727,81.49768562316895,0.3596230655877505,0.9863029496324673,0.7147721097747808,0.7088122769701457,9.302883911132813,9.294540166854858,0.610645821242733,1.0810446952568022,v4_main_text_r32,2500,85.13550247089083,,b200_rank_capacity,,,,,,
v4_main_text_r32_step003000,5,2312.543637084961,26.431646060943603,17.253035502373713,0.6997320804300579,53.82598114013672,31.484903752324243,82.1676643371582,0.36310515603884264,0.9839796711855143,0.7188350604413627,0.7144297410675916,9.335037136077881,9.341547918319701,0.6102763605596355,1.0801290773427386,v4_main_text_r32,3000,89.8071258031971,,b200_rank_capacity,,,,,,
v4_main_text_r32_step004000,5,2311.5370483398438,26.40416431427002,17.259489122534458,0.700051146928862,53.88394012451172,31.4809874242879,81.76382427215576,0.36171201093692157,0.980234076957637,0.7169929324092812,0.7123326145275815,9.31835765838623,9.322200632095337,0.6079836391465032,1.0810812755789243,v4_main_text_r32,4000,85.24062607814602,,b200_rank_capacity,,,,,,
v4_main_text_r32_step005000,5,2314.588348388672,26.432040882110595,17.260551194513017,0.6999631819253236,53.85270195007324,31.483992158634408,81.97616844177246,0.36159928154537574,0.9780961299671732,0.7189867269877199,0.7146403927784285,9.334802627563477,9.344332551956176,0.6065825308783402,1.0816044897377926,v4_main_text_r32,5000,88.293600166565,,b200_rank_capacity,,,,,,
